iter	Passed	Remaining
246	7455	22728
247	7483	22690
248	7510	22650
249	7541	22624
250	7566	22577
251	7593	22540
252	7625	22515
253	7656	22487
254	7682	22444
255	7707	22399
256	7747	22398
257	7776	22365
258	7804	22329
259	7834	22297
260	7857	22246
261	7887	22217
262	7910	22167
263	7933	22118
264	7958	22073
265	7991	22052
266	8026	22034
267	8051	21992
268	8086	21975
269	8116	21943
270	8138	21891
271	8167	21861
272	8199	21836
273	8226	21798
274	8256	21768
275	8281	21722
276	8309	21689
277	8343	21668
278	8372	21636
279	8410	21626
280	8438	21591
281	8467	21560
282	8496	21527
283	8519	21478
284	8542	21430
285	8563	21379
286	8594	21352
287	8619	21308
288	8643	21265
289	8672	21232
290	8695	21186
291	8718	21138
292	8748	21110
293	8770	21062
294	8809	21052
295	8834	21012
296	8858	20967
297	8880	20919
298	8906	20880
299	8931	20839
300	8962	20812
301	8988	20774
302	9016	20741
303	9047	20714
304	9083	20697
305	9116	20676
306	9149	20653
307	9192	20654
308	9229	20638
309	9267	20627
310	9298	20599
311	9337	20590
312	9364	20553
313	9388	20510
314	9416	20477
315	9441	20437
316	9474	20413
317	9496	20367
318	9526	20336
319	9547	20289
320	9571	20247
321	9595	20203
322	9623	20170
323	9658	20150
324	9692	20130
325	9725	20107
326	9757	20082
327	9790	20058
328	9831	20051
329	9864	20027
330	9900	20010
331	9932	19984
332	9962	19954
333	9985	19910
334	10027	19904
335	10055	19872
336	10087	19844
337	10118	19818
338	10149	19790
339	10189	19779
340	10216	19743
341	10239	19700
342	10276	19683
343	10315	19670
344	10361	19671
345	10405	19668
346	10437	19642
347	10464	19606
348	10496	19579
349	10528	19552
350	10565	19535
351	10596	19506
352	10623	19471
353	10647	19430
354	10682	19409
355	10706	19368
356	10738	19340
357	10765	19305
358	10794	19274
359	10827	19248
360	10856	19217
361	10887	19187
362	10913	19151
363	10944	19123
364	10971	19088
365	11003	19061
366	11039	19040
367	11065	19002
368	11105	18990
369	11136	18962
370	11164	18928
371	11199	18907
372	11233	18882
373	11272	18867
374	11305	18842
375	11346	18830
376	11383	18811
377	11414	18782
378	11445	18753
379	11483	18735
380	11524	18724
381	11555	18693
382	11583	18661
383	11619	18639
384	11646	18604
385	11676	18572
386	11703	18538
387	11736	18511
388	11761	18472
389	11793	18446
390	11822	18414
391	11853	18384
392	11876	18343
393	11899	18302
394	11926	18266
395	11953	18232
396	11984	18203
397	12016	18176
398	12051	18152
399	12083	18125
400	12114	18096
401	12152	18077
402	12183	18048
403	12214	18019
404	12246	17991
405	12278	17963
406	12313	17940
407	12350	17920
408	12408	17929
409	12447	17911
410	12475	17878
411	12511	17856
412	12547	17833
413	12583	17811
414	12615	17783
415	12653	17763
416	12695	17749
417	12725	17718
418	12756	17688
419	12787	17658
420	12821	17633
421	12862	17617
422	12895	17590
423	12925	17558
424	12948	17519
425	12971	17477
426	12993	17435
427	13018	17398
428	13041	17358
429	13072	17328
430	13097	17291
431	13133	17268
432	13157	17228
433	13185	17195
434	13208	17155
435	13237	17123
436	13265	17090
437	13297	17062
438	13333	17038
439	13367	17012
440	13395	16979
441	13420	16942
442	13447	16907
443	13472	16871
444	13504	16842
445	13536	16814
446	13569	16786
447	13602	16760
448	13630	16727
449	13664	16701
450	13746	16733
451	13781	16708
452	13822	16690
453	13862	16671
454	13898	16648
455	13932	16620
456	13968	16596
457	13993	16560
458	14030	16537
459	14061	16506
460	14096	16481
461	14123	16447
462	14153	16415
463	14188	16389
464	14222	16362
465	14253	16332
466	14290	16310
467	14323	16281
468	14352	16249
469	14381	16217
470	14406	16180
471	14438	16151
472	14462	16113
473	14488	16078
474	14513	16040
475	14540	16007
476	14572	15978
477	14601	15946
478	14633	15916
479	14661	15883
480	14685	15846
481	14717	15816
482	14746	15784
483	14775	15752
484	14809	15725
485	14845	15700
486	14879	15674
487	14913	15647
488	14947	15620
489	14981	15592
490	15013	15563
491	15040	15529
492	15076	15504
493	15116	15483
494	15148	15454
495	15178	15423
496	15212	15395
497	15249	15372
498	15294	15355
499	15327	15327
500	15361	15299
501	15402	15280
502	15435	15251
503	15459	15214
504	15490	15183
505	15526	15158
506	15555	15125
507	15593	15101
508	15619	15067
509	15657	15043
510	15682	15006
511	15706	14970
512	15729	14932
513	15763	14904
514	15798	14878
515	15824	14843
516	15849	14807
517	15880	14776
518	15905	14740
519	15928	14702
520	15959	14673
521	15993	14645
522	16028	14618
523	16057	14586
524	16088	14556
525	16138	14542
526	16173	14516
527	16203	14485
528	16232	14452
529	16261	14420
530	16294	14392
531	16333	14368
532	16362	14336
533	16391	14304
534	16416	14268
535	16444	14235
536	16468	14199
537	16491	14162
538	16519	14129
539	16548	14097
540	16574	14061
541	16606	14032
542	16642	14006
543	16671	13975
544	16696	13939
545	16719	13902
546	16744	13866
547	16767	13830
548	16791	13793
549	16814	13757
550	16841	13723
551	16864	13687
552	16888	13651
553	16918	13620
554	16940	13583
555	16964	13547
556	16987	13510
557	17010	13474
558	17038	13441
559	17061	13405
560	17086	13370
561	17112	13336
562	17146	13309
563	17172	13275
564	17203	13245
565	17234	13214
566	17260	13181
567	17288	13148
568	17315	13115
569	17337	13079
570	17362	13044
571	17385	13009
572	17409	12973
573	17433	12938
574	17454	12901
575	17481	12868
576	17506	12833
577	17530	12798
578	17553	12763
579	17584	12733
580	17612	12701
581	17636	12667
582	17665	12635
583	17695	12605
584	17721	12571
585	17746	12537
586	17768	12501
587	17792	12466
588	17816	12432
589	17847	12402
590	17877	12371
591	17901	12337
592	17937	12311
593	17962	12277
594	17985	12242
595	18010	12208
596	18034	12174
597	18066	12144
598	18095	12113
599	18125	12083
600	18149	12049
601	18174	12015
602	18198	11981
603	18221	11946
604	18251	11915
605	18285	11888
606	18316	11858
607	18349	11830
608	18383	11802
609	18413	11772
610	18454	11749
611	18487	11720
612	18514	11688
613	18547	11659
614	18576	11629
615	18603	11597
616	18630	11564
617	18657	11532
618	18690	11504
619	18716	11471
620	18741	11438
621	18767	11405
622	18794	11373
623	18822	11341
624	18849	11309
625	18878	11278
626	18909	11249
627	18954	11228
628	18985	11198
629	19017	11168
630	19041	11134
631	19065	11101
632	19102	11075
633	19128	11042
634	19155	11010
635	19178	10976
636	19209	10946
637	19242	10917
638	19268	10885
639	19297	10854
640	19324	10822
641	19349	10789
642	19374	10756
643	19398	10723
644	19425	10691
645	19452	10659
646	19484	10630
647	19509	10597
648	19539	10567
649	19574	10540
650	19606	10511
651	19629	10477
652	19659	10446
653	19691	10417
654	19717	10385
655	19749	10356
656	19773	10323
657	19798	10290
658	19822	10257
659	19858	10230
660	19883	10197
661	19908	10164
662	19933	10132
663	19962	10101
664	19986	10068
665	20017	10038
666	20048	10009
667	20072	9975
668	20098	9943
669	20127	9913
670	20152	9880
671	20176	9848
672	20200	9814
673	20234	9787
674	20266	9758
675	20295	9727
676	20322	9696
677	20347	9663
678	20370	9630
679	20394	9597
680	20420	9565
681	20444	9532
682	20469	9500
683	20495	9468
684	20519	9436
685	20551	9406
686	20578	9375
687	20607	9345
688	20633	9313
689	20664	9284
690	20697	9255
691	20723	9223
692	20759	9196
693	20792	9167
694	20818	9136
695	20848	9106
696	20876	9075
697	20914	9048
698	20948	9020
699	20982	8992
700	21014	8963
701	21043	8933
702	21075	8903
703	21104	8873
704	21133	8843
705	21158	8811
706	21183	8778
707	21212	8748
708	21238	8716
709	21266	8686
710	21299	8657
711	21330	8628
712	21364	8599
713	21391	8568
714	21421	8538
715	21446	8506
716	21470	8474
717	21494	8442
718	21521	8410
719	21545	8378
720	21571	8347
721	21596	8315
722	21627	8286
723	21651	8253
724	21679	8223
725	21709	8193
726	21740	8163
727	21768	8133
728	21796	8102
729	21824	8072
730	21850	8040
731	21874	8008
732	21905	7979
733	21932	7948
734	21962	7918
735	21992	7888
736	22017	7857
737	22059	7831
738	22089	7801
739	22121	7772
740	22149	7742
741	22179	7712
742	22211	7682
743	22250	7656
744	22278	7625
745	22308	7595
746	22334	7564
747	22359	7532
748	22389	7503
749	22419	7473
750	22450	7443
751	22484	7415
752	22511	7384
753	22536	7352
754	22559	7320
755	22582	7288
756	22612	7258
757	22635	7226
758	22657	7194
759	22691	7165
760	22725	7137
761	22755	7107
762	22781	7076
763	22810	7046
764	22835	7014
765	22860	6983
766	22891	6953
767	22921	6924
768	22944	6892
769	22978	6863
770	23002	6832
771	23024	6800
772	23049	6768
773	23082	6739
774	23108	6709
775	23141	6680
776	23177	6651
777	23212	6623
778	23239	6593
779	23267	6562
780	23303	6534
781	23329	6503
782	23363	6475
783	23389	6444
784	23413	6412
785	23436	6380
786	23461	6349
787	23489	6319
788	23513	6288
789	23545	6258
790	23580	6230
791	23602	6198
792	23631	6168
793	23661	6138
794	23685	6107
795	23710	6076
796	23734	6045
797	23758	6014
798	23786	5983
799	23810	5952
800	23839	5922
801	23861	5891
802	23892	5861
803	23915	5830
804	23945	5800
805	23973	5770
806	23999	5739
807	24022	5708
808	24051	5678
809	24082	5649
810	24109	5618
811	24143	5589
812	24171	5559
813	24197	5529
814	24226	5499
815	24259	5470
816	24285	5439
817	24316	5410
818	24346	5380
819	24374	5350
820	24408	5321
821	24432	5290
822	24462	5261
823	24491	5231
824	24513	5199
825	24543	5170
826	24573	5140
827	24605	5111
828	24629	5080
829	24656	5050
830	24685	5020
831	24709	4989
832	24733	4958
833	24762	4928
834	24791	4898
835	24814	4867
836	24846	4838
837	24877	4809
838	24904	4778
839	24934	4749
840	24958	4718
841	24989	4689
842	25020	4659
843	25052	4630
844	25076	4599
845	25104	4569
846	25127	4539
847	25152	4508
848	25177	4477
849	25204	4447
850	25231	4417
851	25259	4387
852	25286	4357
853	25313	4327
854	25340	4297
855	25374	4268
856	25401	4238
857	25427	4208
858	25457	4178
859	25489	4149
860	25525	4120
861	25554	4091
862	25584	4061
863	25623	4033
864	25649	4003
865	25676	3973
866	25704	3943
867	25730	3912
868	25758	3883
869	25787	3853
870	25810	3822
871	25833	3792
872	25856	3761
873	25881	3731
874	25906	3700
875	25931	3670
876	25954	3640
877	25984	3610
878	26006	3579
879	26030	3549
880	26052	3519
881	26076	3488
882	26101	3458
883	26131	3429
884	26154	3398
885	26179	3368
886	26210	3339
887	26242	3309
888	26266	3279
889	26299	3250
890	26325	3220
891	26351	3190
892	26376	3160
893	26401	3130
894	26424	3100
895	26448	3069
896	26470	3039
897	26495	3009
898	26518	2979
899	26542	2949
900	26570	2919
901	26595	2889
902	26624	2859
903	26651	2830
904	26682	2800
905	26711	2771
906	26740	2741
907	26773	2712
908	26805	2683
909	26828	2653
910	26850	2623
911	26877	2593
912	26909	2564
913	26938	2534
914	26961	2504
915	26985	2474
916	27032	2446
917	27074	2418
918	27096	2388
919	27121	2358
920	27145	2328
921	27174	2298
922	27209	2269
923	27240	2240
924	27273	2211
925	27303	2181
926	27335	2152
927	27374	2123
928	27410	2094
929	27441	2065
930	27474	2036
931	27499	2006
932	27538	1977
933	27564	1947
934	27590	1918
935	27624	1888
936	27655	1859
937	27700	1830
938	27745	1802
939	27775	1772
940	27807	1743
941	27841	1714
942	27876	1685
943	27905	1655
944	27941	1626
945	27982	1597
946	28014	1567
947	28048	1538
948	28078	1508
949	28106	1479
950	28143	1450
951	28174	1420
952	28201	1390
953	28237	1361
954	28267	1331
955	28299	1302
956	28351	1273
957	28382	1244
958	28406	1214
959	28432	1184
960	28461	1155
961	28486	1125
962	28513	1095
963	28541	1065
964	28565	1036
965	28594	1006
966	28616	976
967	28644	946
968	28683	917
969	28719	888
970	28754	858
971	28782	829
972	28807	799
973	28835	769
974	28858	739
975	28881	710
976	28905	680
977	28931	650
978	28955	621
979	28980	591
980	29008	561
981	29036	532
982	29060	502
983	29086	472
984	29118	443
985	29153	413
986	29182	384
987	29214	354
988	29250	325
989	29279	295
990	29311	266
991	29334	236
992	29365	207
993	29391	177
994	29423	147
995	29462	118
996	29490	88
997	29516	59
998	29547	29
999	29576	0
