iter	Tweedie:variance_power=1.5
0	190.5491759
1	185.158332
2	179.9335963
3	174.8706412
4	169.9646943
5	165.2110032
6	160.6057918
7	156.1446369
8	151.8234572
9	147.6381347
10	143.5850071
11	139.6605777
12	135.8610285
13	132.1829018
14	128.6225826
15	125.1772847
16	121.8435121
17	118.6182639
18	115.4984923
19	112.4803693
20	109.5628647
21	106.7412734
22	104.0145176
23	101.3794217
24	98.83345866
25	96.3747179
26	93.99972693
27	91.70669388
28	89.49335369
29	87.35823061
30	85.29630478
31	83.30900709
32	81.39380637
33	79.54545469
34	77.76422733
35	76.04987852
36	74.40019468
37	72.81248685
38	71.28480057
39	69.81517773
40	68.39827109
41	67.03843319
42	65.73345026
43	64.48041965
44	63.27229795
45	62.11556481
46	61.00246347
47	59.938039
48	58.91761165
49	57.93975574
50	56.9989788
51	56.09777915
52	55.23466767
53	54.41311754
54	53.62741424
55	52.87930467
56	52.16467082
57	51.48275986
58	50.82260174
59	50.19751367
60	49.60106937
61	49.03586618
62	48.48673435
63	47.97348319
64	47.48527553
65	47.01999452
66	46.57288949
67	46.13931946
68	45.7263173
69	45.34074021
70	44.96588799
71	44.60884282
72	44.26880276
73	43.95344481
74	43.64526181
75	43.36508089
76	43.08616235
77	42.82060176
78	42.56703352
79	42.3272718
80	42.099361
81	41.88276955
82	41.67696571
83	41.48145181
84	41.29559193
85	41.11921744
86	40.95141621
87	40.79097881
88	40.62737212
89	40.48224342
90	40.34590538
91	40.21560381
92	40.10372352
93	39.98672737
94	39.85226139
95	39.75607389
96	39.64293814
97	39.54746904
98	39.45691891
99	39.35936895
100	39.27571321
101	39.17442308
102	39.07733934
103	39.00316898
104	38.93610157
105	38.87147342
106	38.80208707
107	38.74442765
108	38.69664549
109	38.6301174
110	38.58075661
111	38.5157665
112	38.45446282
113	38.39914221
114	38.34685045
115	38.31370634
116	38.25984198
117	38.21396154
118	38.17769953
119	38.14462632
120	38.09878048
121	38.07435113
122	38.03354243
123	37.9963648
124	37.96834149
125	37.93145825
126	37.89405536
127	37.85944697
128	37.83766159
129	37.81261282
130	37.79067661
131	37.76349911
132	37.7409563
133	37.71703896
134	37.68973419
135	37.6643697
136	37.654683
137	37.63636433
138	37.62360204
139	37.61147461
140	37.59491022
141	37.58395354
142	37.5629727
143	37.54255118
144	37.52371542
145	37.50448433
146	37.49194115
147	37.47855647
148	37.46684958
149	37.45109377
150	37.43456021
151	37.41771312
152	37.40603449
153	37.39378845
154	37.3870642
155	37.37954512
156	37.37034882
157	37.35991647
158	37.34741391
159	37.34123859
160	37.33528464
161	37.32071553
162	37.31117093
163	37.30228769
164	37.29795842
165	37.28775086
166	37.2820847
167	37.2772192
168	37.27208048
169	37.26687209
170	37.26008179
171	37.25370293
172	37.24831248
173	37.2428498
174	37.2316801
175	37.22713061
176	37.21705897
177	37.21258683
178	37.20398364
179	37.19193289
180	37.18550492
181	37.18123711
182	37.173694
183	37.16796045
184	37.15986936
185	37.15675379
186	37.14942356
187	37.14284195
188	37.13443289
189	37.12964369
190	37.12284015
191	37.11931954
192	37.11521074
193	37.11068728
194	37.10555796
195	37.09678493
196	37.09353359
197	37.08999132
198	37.08819669
199	37.08215651
200	37.07970508
201	37.07663645
202	37.07454911
203	37.07228888
204	37.06945093
205	37.06781298
206	37.06490383
207	37.05941794
208	37.05469873
209	37.04953955
210	37.04206597
211	37.03568971
212	37.03122379
213	37.02675647
214	37.02282395
215	37.02018899
216	37.0160323
217	37.01165396
218	37.0067696
219	37.00263797
220	37.00045713
221	36.99562893
222	36.99172017
223	36.98497375
224	36.98180761
225	36.97891623
226	36.97517192
227	36.97366392
228	36.96885825
229	36.9611427
230	36.95509267
231	36.95135204
